#21_and_31
review_text,label
"Refreshing and happy ever-after ending. I needed that today.",Fake
"A steamy good read. I enjoyed Evie and David's story.",Fake
"Wonderful books, how the characters have evolved, keep m coming",Fake
"i love all mailorder bride books keep them coming, thankssherry",Fake
"Wonderful! All the books in these series are great",Fake
"Good story. Well written. Would read more from this author.",Fake
"Fascinating mystery, intriging. Kept my interest throughout.",Fake
"Great read. I would recommend it. Great job. **I received a copy",Genuine
"Fantastic book. I wish it had been longer. I will keep reading.",Genuine
"The story was kind of predictable. The characters were just too predictable. There were too many typos",Genuine
"Great cookbook! Lots of choices, some of the recipes are easy to follow and make for a",Genuine
"Very easy read. Keeps you on the edge of your seat. This is a must",Genuine
"Great read! i enjoyed reading it and i hope you will read it too! I received a free",Genuine
"Really enjoyed this! A few issues with the story, which I will admit, were the first one",Genuine
"great book cannot wait for more. The characters are well developed and the story is well told.",Genuine
"Loved this story. Ryan is a sweet, sweet, funny, sexy guy who just loves to",Genuine
"Can`t wait for next one.I love the way these two characters developed and developed the story",Genuine
"It is a very good book. The characters are well developed and the story is well told.",Genuine
"Couldn't put it down. A definite must read.This is a great book for a beginner",Genuine
"Pretty predictable. It's exactly what I expected and the writing is good. I also enjoyed the way",Genuine
"I read them all. The character & plot kept me entertained.",Fake
"Beautiful story. Makes me want continue with the next book!",Fake
"Great great story! And I love when it is a series!!!!",Fake
"Loved this story. It was hard to put the book down.",Fake
"I want to join a MC club. I love this book",Fake
"These books are amazing. I can't wait to read them again!!!",Fake
"I short quick read. Nothing spectacular, but a good a story.",Fake
"a good series. drags in some spots.",Fake
"Love it. Can't wait to read another story from this author",Fake
"A very nice, clean (no sex but does have shootings) story.",Fake
"Really enjoyed this book and the insight into Christian it gives.",Fake
"Little more than a short story but interesting just the same.",Fake
"One of the best short stories I have ever read !",Fake
"The only compliant for this book is the fact that it is a prequel to the first one.",Genuine
"Brandi and Becky wrote another amazing book and I look forward to reading more of her books!",Genuine
"Best book no regrets getting this book, I highly recommend it. This is the first book by",Genuine
"I am really enjoying Coldwater. The characters are well developed and the story is well told.",Genuine
"An easy read for the weekend. The characters are well developed and the plot is well thought out.",Genuine
"enjoyed reading Lazy Love especially since it was free and I was able to read it in",Genuine
"will fine the time to go back and read the other two books. The first one is",Genuine
"Molly Greene this is such a sweet, sweet, romantic story about love, loss, and how",Genuine
"one of the best I've read. The characters are well developed and the story is well told.",Genuine
"Fun read! Reminded me to go back and read the other two books.",Genuine
"The story was well developed and the characters were well developed. The story was a bit slow",Genuine
"I enjoy reading Skye's books. She is an interesting writer. She has a very",Genuine
"Great book, great searies, very good characters, great writing. I will definitely read more by",Genuine
"It was just okay considering it was talking about the Landry girls.",Fake
"I enjoyed this book. Kept me interested right to the end.",Fake
"Absolutely loved it!!!! In fact, I love all of her books!!!!!",Fake
"Loved all the Brand stories both Texas and Oklahoma, waiting for more.",Fake
"I am reading the series and this is one of the best",Fake
"This was an enjoyable read, read it in one sitting. Good story.",Fake
"I loved the Oklahoma brands just as much as the Texas brands.",Fake
"Love the books, purchased for the kindle to take with me easier.",Fake
"This is a really good series by Deborah. I love her books.",Fake
"Clean, short, easy read. The writing style could use some improvement.",Fake
"This book was ok but not as good as others of NoraFfilte",Fake
"Was Dee Henderson the author? far from her excellent O'Malley type style.",Fake
"Just got this, but I'm looking forward to exploring all the recipes.",Fake
"Love clay and paisley. Love this book and the series. I will be reading more books",Genuine
"I was entertained by this book. The characters were well developed and kept my interest.",Genuine
"Put this on my kindle and read it. It is a great book for a beginner to start",Genuine
"I read the whole series and it kept me engaged. I will definitely be buying the next one.",Genuine
"I absolutely LOVE this book! I couldn't put it down until I finished this",Genuine
"excellent read intriguing kept me reading. The characters were well developed and kept my interest.",Genuine
"Can't wait to read the rest of the series! I loved this book! I was just",Genuine
"Yes, cheesy and predictable, but it has the right amount of romance and suspense to keep the reader",Genuine
"I love the Toni Diamond series. The characters are well developed and the story is well told.",Genuine
"I enjoyed this book so much. The characters were well developed and the story flowed well.",Genuine
"I really enjoy reading Sable and her characters. Her characters are believable and relatable.",Genuine
"I really enjoyed it, it was an easy read and I was able to understand the characters and the",Genuine
"Book two had mystery and suspense. The story was a good read. The author has done",Genuine
"I've read all of this authors book this one is just as good",Fake
"Love Julie Smith and the Baroness Pontalba. Just not a short story enthusiast.",Fake
"The story continued well written and had me enthralled from the get go.",Fake
"Great bits of books to introduce us to new authors and book series.",Fake
"Great book. Love this author and will continue to support her work.",Fake
"I'm hooked on this writer and will be reading more of her work.",Genuine
"Good book and exactly as described. The characters were well developed and believable. The writing was just as",Genuine
"Fitting that the ultimate survivor of an epidemic is the one who will save her, the person who",Genuine
"Absolutely loved every word! We have the book on Kindle and it's also a must read!",Genuine
"I loved it! It was a real, believable, and engrossing read.",Genuine
"Patterson is my FAVORITE author. I love the way he explains how science works",Genuine
"The book captured me and I loved the characters and the setting. I really enjoyed the story.",Genuine
"I love Flavia. I know she's an interesting character but she's also a very strong",Genuine
"Helps to remember to look forward to the next one.I read this book for the first time",Genuine
"Have read everything Woods ever written. The characters are just too real. There is a lot of time",Genuine
"Enlightening and except for a few moments, the writing is good. There is a strong",Genuine
"A little longer than necessary, but the story is just too full of information for the reader to skim",Genuine
"Not much mystery in this book. The characters are well developed and believable, and the plot is interesting",Genuine
"Excellent writing and enjoyable reading.I love the writing. I read it for my students and they loved",Genuine
"Excellent book, well written. You will not be disappointed. Very good book.",Genuine
"Her latest and best book. She is an excellent writer. She is a very strong heroine",Genuine
"Good read. Enjoyable characters. Kept me turning pages. Great plot.",Genuine
"I liked the new detective, but I thought the third book in the series would have been better.",Genuine
"This was a fast paced thriller with the usual twists and turns. There were a few moments where",Genuine
"Pretty good book, well written, and an entertaining story. I will keep reading it!Very",Genuine
"Only 1/4 of the way through the book, I decided I needed to read it again.",Genuine
"good for my son to read. The story is well written and easy to read.Very good.",Genuine
"Could not read more than once. The story is very good and I enjoyed it very much.",Genuine
"A book to help see what happens when you try to take a stand for a cause.",Genuine
"It's witty and intriguing. I hang on to every word.",Fake
"Good read. I really enjoyed the characters in the book.",Fake
"It's Dr. Seuss, how can you miss??? Great quality hardcover.",Fake
"Great read. Makes you wish you lived in Nantucket.",Fake
"A good read which keeps you wondering until the end.",Fake
"Transaction was great! Iteam was a hit! Thanks so much!",Fake
"Interesting and different perspective of slaves utilizing the Underground Railroad.",Fake
"The whole shopaholic series is a funny and fast read.",Fake
"Great story. I have already downloaded the second book.",Fake
"Who doesn't love Pete? This is another great book!",Fake
"Wonderful book - information for all - not just teens.",Fake
"Marcus Borg's spirituality reflects my own on the pilgrim path.",Fake
"Very good book. Easy to read, lots of details.",Fake
"I enjoyed reading and all the various plots and subplots",Fake
"I bought this for Christmas Eve. Love the vintage illustrations!",Fake
"Read all of these. Held my interest in every book.",Fake
"Excellent well written trilogy that keeps you in suspense throughout",Fake
"I like you very much take some getting used to",Fake
"One of the Highland Guard series. Romantic,funny and awesome characters.",Fake
"Was disappointed in this book hard for me to follow",Fake
"Easy to read instructions!! I already crochet three cats.",Fake
"Great books for kids and adults to read with them.",Fake
"It's a dry graduate level text. Rent if you can",Fake
"Good story. Good book. Jennifer Ryan consistently writes great books.",Fake
"Very nice book of meditations. I love the way it explains how to make a meditation and",Genuine
"This was a really interesting book. The characters were well developed and the plot was well written.",Genuine
"Another good book by Jeff Probst, with lots of good history. The book has a",Genuine
"reading....and rereading...Dyer's books always seems to have the same formula: A cold",Genuine
"Loved the movie so much...I have read the movie and I will keep reading it!Very",Genuine
"it's good, but thought it was an easy read. I will admit that I didn't",Genuine
"Captivating plot, Good development, The characters are well developed and believable.",Genuine
"EXCELLENT NARRATIVE OF THE BATTLE FOR THE TEXAS.",Genuine
"The surprise ending was great, and I thought the ending was a little more predictable.",Genuine
"Gorgeous artwork. Great for a book club. Not for a book club.",Genuine
"OK if you haven't something else to read by now. I will admit that I have been reading",Genuine
"Good book to listen too.I love the writing. I read it for my students and they loved",Genuine
"Another great mystery by Mary Ann. The characters are well developed and believable. The writing is just as",Genuine
"All Cornwell's novels are great. I love the way they are written.",Genuine
"Very good I only wonder what happens next. I wonder if anyone will read this book.",Genuine
"I can't wait for his next book, and hope he has a nice happy ending!Very good",Genuine
"If you like Clive Cussler's books, you'll love this one.",Genuine
"Very interesting read. It was an easy read and a good read. I would recommend it",Genuine
"Always a fan of Tana, I couldn't put this one down.",Genuine
"It was interesting but not enough to make me feel like I was reading this book.",Genuine
"Great summer read especially while reading an academic book. I will keep my eyes peeled for the next",Genuine
"What monster writes a book that has the potential to make you cry? The premise of the",Genuine
"I personally prefer the Spenser style of writing. The characters are complex and well developed.",Genuine
"it's a tough subject, this book has the potential to make you cry.",Genuine
"Held interest, good plot. Slang was a bit hard to follow.",Fake
"Enjoyed reading the book. Would recommend to readers of LRRP history",Fake
"David did a pretty good job but he is no SL.",Fake
"Never disappointed reading Grisham. Always exciting and hard to put down",Fake
"This story was well written and one I couldn't put down.",Fake
"Well laid out story line. I enjoyed the book. Thank you.",Fake
"I buy these books for my son.. He loves them all...",Fake
"Love the Scottish series, men were men and oh what men!",Fake
"I like the Captain Lacey mysteries, the period description is interesting.",Fake
"Good story but they are all running together at this point.",Fake
"Loved how they broke each culture into its own chapter.",Fake
"Good read. Already reading the second book.",Fake
"A 'count your blessings' beautifully written story with an exceptional ending.",Fake
"A awesome page turner - beautifully written, a great historical novel.",Fake
"Many of Sun Tzu's lessons are both timeless and universally applicable.",Fake
"I loved the suspense, will look forward to the final installment",Fake
"My favorite author did it again in this tale of Mitford",Fake
"A wake up call to get real with the coming future.",Fake
"Anothergreat book by Jan Karon. Love this series of books.",Fake
"The best Middle-Earth encyclopedia you can buy. It has everything.",Fake
"I read every thing he writes one of my favorites.",Fake
"One of the best Sci Fi compendiums from the classic age.",Fake
"Very insightful! Helps me to understand some relatives of mine!",Fake
"enjoyed reading the Charlie the Ranch Dog books to our grandchildren",Fake
"I really enjoyed this book. The characters were well developed and the plot was well written.",Genuine
"Good old fashion book. Gives a real insight into the lives of women. This is a must",Genuine
"Typically good and therein lies the problem, as the author explains it. The premise of the",Genuine
"The writing is okay, but not a great story. I will admit that I thought the writing",Genuine
"Easy to install even without a power supply. Easy to use. Great product! Works",Genuine
"Good Memory card! But prices are a little lower than other brands. Also, the graphics card has",Genuine
"The product is the one that will make you feel comfortable with it. The only downside is",Genuine
"Adorable. Plastic not best, but the quality is good. Also, the case does",Genuine
"A little loose for the time being, but it is good enough. Nice little speaker.",Genuine
"Great cables. They are working great. The only problem is that they are not very sturdy.",Genuine
"Not worth the money, kept it for the last two years. If you have a larger",Genuine
"Seems great, so far. Have not had any issues with it.",Genuine
"Very Good Camera, works very well. The only problem is that it takes a while to get used",Genuine
"I always buy Lg dvd players. The quality is good but it's not a perfect fit",Genuine
"As always, great cables. Buy this one and you will never regret it.",Genuine
"Much faster than the other brands. The only problem is that it's not really a stereo, but",Genuine
"Exactly what I was expecting. I love the feel of the lens. The zoom is awesome",Genuine
"Perfect fit. Light weight and has the right amount of pressure to keep my iPad in the pocket",Genuine
"Cost a little more than $200, and it works perfectly. If you have a larger head",Genuine
"Great seller, item delivered as promised.Great Product!Very good quality.Nice little speaker! Works",Genuine
"Good product was worth the money. The only problem is that it's not really a stereo, but",Genuine
"outstanding speaker. a little more bass, but overall sound is good.",Genuine
"PERFECT. VERY STURDY. CHILD PROOF. Not an easy case",Genuine
"Nothing bad to say. Works great. The only problem is that it's not really a stereo,",Genuine
"This was a gift and it has been an awesome experience. If you have a larger head",Genuine
"Don't like the different plug. Not sure if the cord is too short or not.",Genuine
"Quality is not good. You have to be careful to make sure it's properly aligned.",Genuine
"Strong nice TV mount it holds a 55\" tv in place. I have a 55\" HD",Genuine
"its decent enough. nothing else to complain about. I will keep this in mind when buying",Genuine
"I have two pioneer twelves. I have an old Pioneer TRS-40, a",Genuine
"good cover saved my phone from an unwanted flash drive. I will keep this for the next one.",Genuine
"Great deal on a well built set of headphones. I will keep my review for a couple months",Genuine
"Just love my iPad and this has kept me going.works great.Nice little speaker! Works great",Genuine
"Netgear Quality > converted my old wireless router into a wireless router. This is the first one",Genuine
"Worked well to serve Readyboost and an external external drive. I also used this drive to upgrade",Genuine
"I have a HR34 DVR that has the same problem. I need to turn it off and",Genuine
"On time delivery and It's a real shame the box is not full.",Genuine
"With the Magician software it works fine, but the instructions are a little difficult to understand.",Genuine
"Can't beat the price for this. The quality is good. If you have a larger",Genuine
"Love it, sounds great & looks great, the only thing I wish was that it would have a",Genuine
"These are some of the best ones I've used. I'm not sure if I would recommend them",Genuine
"My unifi network is fantastic, and it's an awesome experience. If you have a",Genuine
"its great item, i still use it everyday.Worst item in the world for the price.",Genuine
"AF works perfectly. A little bulky, but it works. If you have a larger",Genuine
"It was bought for a weekend trip and the camera worked flawlessly. The only downside is",Genuine
"Used two of these in an SLI with good results.",Fake
"It was as described and worked perfectly for my TV.",Fake
"You can upgrade this. It is an excellent buy!",Fake
"Really made it nice being able to reach the distance",Fake
"The adhesive works but Quality was bad.",Fake
"Fast shipping works as advertised replacement cord for Samsung TV...",Fake
"Great Cable. Love it. Nothing more needs to be said.",Fake
"Couldn't get it to work. I'd avoid this one.",Fake
"Junk. Defective within 2 months. Replaced under warranty, Gifted replacement",Fake
"Sound is not that great; get what I pay for",Fake
"For the money,I've never had better sound,perfect for my ears-Kevin",Fake
"Great quality and function. very well made",Fake
"one of the best earbuds for the price you pay",Fake
"works great,considering the price,just download the app (meshare) and enjoy.",Fake
"Have used at many meetings and no issues at all.",Fake
"Well made and inexpensive system worked perfect for our application.",Fake
"Works great. The longer cable was just what I needed.",Fake
"Its barely fits the i7 cooling fans, but its good",Fake
"I like the blue lights and it works really well.",Fake
"Works as promised. My garage looks more organized already.",Fake
"Love my p-Touch - i label everything that doesn't move.",Fake
"As I stated in my other reviews I'm very pleased",Fake
"work great and hold a charge for a dozen uses",Fake
"Excellent product. I would buy again if need would arise.",Fake
"Awesome case. Case did a great job of protecting phone.",Fake
"These are pretty decent batteries and the price is good.",Fake
"I think they're working just right. I've seen some improvement.",Fake
"small doesn't last that long, but the price is decent.",Fake
"Great product, will fit with G Skill Trident RGB ram",Fake
"Checks off all the boxes for a very inexpensive TV",Fake
"Been using this motherboard for months now, without any problems.",Fake
"It is working as I expected.",Fake
"Stopped working after only 28 days. Can't recommend this.",Fake
"These cables are bulletproof, top quality and very well made.",Fake
"Waste of money, this stuff does not work as advertised.",Fake
"Works fine, bit very slow loading up and reading cd's.",Fake
"Fit my spotting scope and tripod prefix very good product.",Fake
"Fits my Kindle Fire perfectly! What a great price!",Fake
"It hard to find a signal that doesn't have static.",Fake
"sent it back.. not the quality I was looking for",Fake
"It a bit flimsy, but works for the most part.",Fake
"still working great. just a little disappointed with the sound quality. my only complaint is the",Genuine
"These worked great would recommend this itemGreat Product!Very good quality.Nice little speaker! Works great",Genuine
"Excellent Product. Has already been used by an Amazon reviewer. Also, it's been used",Genuine
"Best radio I have ever owned. The quality is amazing. The only reason I gave it",Genuine
"Works as is even though it has the same specs.works great.Nice little speaker! Works great",Genuine
"You get what you pay for. The quality is good but it's not great.Very nice.",Genuine
"these rails are so rail-y. I don't know why I didn't make a purchase",Genuine
"I love not having to go to the gym and try to figure out how to fix a problem.",Genuine
"THIS SCREEN PROTECTOR IS SMALLER AND DOES NOT CAUSE A TURN ON",Genuine
"Quality is GOOD. Purchase this if you need an external HDD for your computer.This is a great",Genuine
"Good for my 150-600, snug fit, and the materials. I will keep this for the",Genuine
"Great Backpack! My son loves it and the materials are good. He loves the way",Genuine
"This is amazing. Works amazing. Not a huge fan of static but it works for me.",Genuine
"Used this during a trip and it worked fine. I will keep my review in order to share",Genuine
"really good. pretty snug on the back and the cord is thick enough to make it hard to slide",Genuine
"Works for adding a 3rd party transmitter, as well as a 4th party transmitter.",Genuine
"These are the best wireless speakers I have ever used. I will keep my review for a couple months",Genuine
"One of my favorite SanDisk cards. The only problem is that it comes with a hard drive,",Genuine
"perfect have a dart board, an island with a beach towel, and a bag of fruit and a",Genuine
"Gift for 30 year old woman. The only problem is that she wears her hair in a pony",Genuine
"Holds up great at the range. The only problem is that it's a little hard to put",Genuine
"This thing works amazingly well, and has kept me cool in the cold weather for a very long time",Genuine
"I've bought four of these and have been very pleased. I will keep my 2x2 and",Genuine
"Great product! I can do this with my cell phone. I also love that it's easier to",Genuine
"I like Fiebings products. They have the wide brim which is a nice feature for",Genuine
"fit well on my 5'11\",Genuine
"My third one-works great for keeping me warm. I've also used this for a few",Genuine
"got it and ate it. The only problem is that it's a little hard to put on",Genuine
"My daughter wears this for hiking and camping. It is very comfortable and fits her well.",Genuine
"Good quality and my son loves it. Great value for the money!This is a pretty good",Genuine
"Like it so well, I'm sure I'll be using it in a few weeks.",Genuine
"These are plastic fyi. Seem to be made with materials that are either not designed for the",Genuine
"Part of therapy but rack is a little wide and tight for a rack that is a little larger.",Genuine
"These are a must for anyone who wants to carry a flashlight in a concealed bag.",Genuine
"Great Tool to add to your EDC. Easy to use and make a difference.",Genuine
"Had all of the necessary adjustments. The only problem is that it's a little hard to put the",Genuine
"perfect size for survival kit, and an easy to carry. I will be purchasing a couple more of",Genuine
"great flashlight really liked boughted down a bit. Not too much to say, I'm",Genuine
"Hard to tighten and blue plastic. The only problem is that it's not really a mesh one.",Genuine
"Yummy, I bought extra chicken and steak and they taste just like it.Nice bag for the",Genuine
"Good light for night sporting, hiking or camping. Easy to adjust and turn up the volume and",Genuine
"This item was a gift--hence the name--to my son for Christmas.",Genuine
"Nice fit does what it's supposed to and the materials are good. I have a large one",Genuine
"works really well, easy to use and easy to clean. I will definitely recommend this product to anyone",Genuine
"Nice socks but very expensive. The quality is good but the construction is not the best.",Genuine
"Love these...no hassle. Pick up a couple of them and take them back to your car",Genuine
"fine for the money. Not an easy case to put on a bike, but I'm pretty",Genuine
"I have several of these and have been using them for a while. They are strong and durable",Genuine
"Quality product. Accurate description with clear picture and shipping. Very good quality.",Genuine
"It is a nice football, but the wide knee pads are a little too wide for my knees.",Genuine
"Very compact yet does everything it should and does it all. The only reason I gave it",Genuine
"great gift. hollow inside. about $200.00 worth.works great.Nice bag for the",Genuine
"short snake, not what I wanted. The only reason I gave it 4 stars is because I'm",Genuine
"Very secure holster. extremely fast draw. Very comfortable. Highly recommend it.",Genuine
"Nice case I Springfield Armory holds an AR with a 15\" barrel. The dimensions are just right",Genuine
"This is a really superb tool. The only problem is that it comes with a small screwdriver.",Genuine
"Great compromise of flexibility and convenience. The only problem is that it's a little hard to put on",Genuine
"Good value despite long shipping time. The only problem is that it comes with a small screw driver.",Genuine
"One little topple sideways and it broke the pieces off. I will keep this for the next one.",Genuine
"My husband loves these shoes. They have the wide toe pads that are nice for wearing in the summer",Genuine
"Bought these as gifts. They are a little too long and too thin. These have a nice",Genuine
"Great deal on this item,always happy with the quality and quality of the product!This is a",Genuine
"my English is very limited, and it's an inch in diameter. If you're looking for",Genuine
"So far, so good. it looks good and the materials are good. I have a large",Genuine
"product arrived immediately in good condition. The only problem is that it comes with a small screw that is",Genuine
"worked great showing my dog what a great product it is. If you have been looking for",Genuine
"Working so far. If you have the time and money I will buy this for you.",Genuine
"Great light!!! Very bright and has the ability to brighten up your night vision.",Genuine
"Granddaughter loves it. Bought boxer briefs for my daughter and she loved them.",Genuine
"I wish the strap was more of a wide width. I normally wear a size 10 and ordered a",Genuine
"Nice, thick material 10 yr old. The only problem is that it's a little too large for",Genuine
"They are easy to use and have the wide width. I will keep them for the summer and they",Genuine
"Love them!! Great flippies plus they fit well!!Wife loved it.",Genuine
"Love these, perfect size and style. The only problem is that they are very thin.",Genuine
"Uncomfortable to wear. Because of that, I bought the third pair.",Genuine
"i really love this t-shirt, the fabric is thick and thick, and the material is durable",Genuine
"These are strong and not overly bulky, they feel comfortable and will keep my feet warm.",Genuine
"Fits very comfortable, i bought a size up.Very comfortable. I love the style and",Genuine
"Got this for my grandsons wedding. The quality is good and it fits my son well.",Genuine
"Works well enough. Kind of looks like the picture. Very good quality. Nice bag.",Genuine
"One of my favorite tops. The wide brim makes it a nice fit for the person with extra",Genuine
"Great buy! Fit great! Quality material. The only problem is that it's a little too large",Genuine
"Need to be a size small. The wide width is too narrow. I have a wide foot and",Genuine
"Nice but very very long. Not an easy to find bra but it fits my breasts well.",Genuine
"Great quality tee and my daughter loves it.Very comfortable. She wears a size 8 and the",Genuine
"Love love this shirt....and received many compliments. It is thick enough to cover my belly button",Genuine
"GREAT FOR THE PRICE YOU WILL BE SENDING. I LIKE THE PANTS AND COM",Genuine
